Entry	Reviewed	Entry Name	Protein names	Length	InterPro
Q5SZK8	reviewed	FREM2_HUMAN	FRAS1-related extracellular matrix protein 2 (ECM3 homolog)	3169	IPR038081;IPR003644;IPR039005;IPR045658;IPR051561;
Q5SZL2	reviewed	CE85L_HUMAN	Centrosomal protein of 85 kDa-like (Serologically defined breast cancer antigen NY-BR-15)	805	IPR058190;IPR040210;
Q5T011	reviewed	SZT2_HUMAN	KICSTOR complex protein SZT2 (Seizure threshold 2 protein homolog)	3432	IPR033228;
Q5T0F9	reviewed	C2D1B_HUMAN	Coiled-coil and C2 domain-containing protein 1B (Five prime repressor element under dual repression-binding protein 2) (FRE under dual repression-binding protein 2) (Freud-2)	858	IPR000008;IPR035892;IPR037772;IPR039725;IPR006608;
Q5T0N1	reviewed	CFA70_HUMAN	Cilia- and flagella-associated protein 70 (Tetratricopeptide repeat protein 18) (TPR repeat protein 18)	1121	IPR052628;IPR011990;IPR019734;
Q5T0W9	reviewed	FA83B_HUMAN	Protein FAM83B	1011	IPR050944;IPR012461;
Q5T1B0	reviewed	AXDN1_HUMAN	Axonemal dynein light chain domain-containing protein 1	1012	IPR052845;IPR019347;
Q5T1H1	reviewed	EYS_HUMAN	Protein eyes shut homolog (Epidermal growth factor-like protein 10) (EGF-like protein 10) (Epidermal growth factor-like protein 11) (EGF-like protein 11) (Protein spacemaker homolog)	3165	IPR013320;IPR000742;IPR001881;IPR013032;IPR000152;IPR018097;IPR009030;IPR001791;
Q5T1M5	reviewed	FKB15_HUMAN	FK506-binding protein 15 (FKBP-15) (133 kDa FK506-binding protein) (133 kDa FKBP) (FKBP-133) (WASP- and FKBP-like protein) (WAFL)	1219	IPR056598;IPR046357;IPR001179;
Q5T1R4	reviewed	ZEP3_HUMAN	Transcription factor HIVEP3 (Human immunodeficiency virus type I enhancer-binding protein 3) (Kappa-B and V(D)J recombination signal sequences-binding protein) (Kappa-binding protein 1) (KBP-1) (Zinc finger protein ZAS3)	2406	IPR051969;IPR036236;IPR013087;IPR034729;
Q5T200	reviewed	ZC3HD_HUMAN	Zinc finger CCCH domain-containing protein 13	1668	IPR052824;IPR000571;IPR036855;
Q5T2S8	reviewed	ODAD2_HUMAN	Outer dynein arm-docking complex subunit 2 (Armadillo repeat-containing protein 4)	1044	IPR011989;IPR016024;IPR000225;IPR023231;
Q5T3F8	reviewed	TM63B_HUMAN	Mechanosensitive cation channel TMEM63B (Transmembrane protein 63B) (hTMEM63B)	832	IPR045122;IPR003864;IPR027815;IPR032880;
Q5T3U5	reviewed	MRP7_HUMAN	ATP-binding cassette sub-family C member 10 (EC 7.6.2.2) (EC 7.6.2.3) (Multidrug resistance-associated protein 7)	1492	IPR003593;IPR011527;IPR036640;IPR003439;IPR017871;IPR050173;IPR027417;
Q5T447	reviewed	HECD3_HUMAN	E3 ubiquitin-protein ligase HECTD3 (EC 2.3.2.26) (HECT domain-containing protein 3) (HECT-type E3 ubiquitin transferase HECTD3)	861	IPR004939;IPR008979;IPR000569;IPR035983;IPR042469;
Q5T481	reviewed	RBM20_HUMAN	RNA-binding protein 20 (RNA-binding motif protein 20)	1227	IPR000690;IPR003604;IPR012677;IPR035979;IPR034790;IPR000504;
Q5T4S7	reviewed	UBR4_HUMAN	E3 ubiquitin-protein ligase UBR4 (EC 2.3.2.27) (600 kDa retinoblastoma protein-associated factor) (p600) (N-recognin-4) (Retinoblastoma-associated factor of 600 kDa) (RBAF600)	5183	IPR016024;IPR025704;IPR045841;IPR045189;IPR056530;IPR047509;IPR036322;IPR003126;
Q5T4T6	reviewed	SYC2L_HUMAN	Synaptonemal complex protein 2-like (SCP-2-like) (145 kDa nucleolar protein homolog) (hsNO145)	812	IPR024835;IPR041322;IPR040560;
Q5T5C0	reviewed	STXB5_HUMAN	Syntaxin-binding protein 5 (Lethal(2) giant larvae protein homolog 3) (Tomosyn-1)	1151	IPR000664;IPR013905;IPR013577;IPR042855;IPR015943;IPR036322;IPR001680;
Q5T5P2	reviewed	SKT_HUMAN	Sickle tail protein homolog	1943	IPR022782;IPR051825;
Q5T5U3	reviewed	RHG21_HUMAN	Rho GTPase-activating protein 21 (Rho GTPase-activating protein 10) (Rho-type GTPase-activating protein 21)	1958	IPR001478;IPR041489;IPR036034;IPR011993;IPR001849;IPR008936;IPR000198;
Q5T5X7	reviewed	BEND3_HUMAN	BEN domain-containing protein 3	828	IPR018379;IPR033583;
Q5T5Y3	reviewed	CAMP1_HUMAN	Calmodulin-regulated spectrin-associated protein 1	1602	IPR032940;IPR031372;IPR058042;IPR022613;IPR001715;IPR036872;IPR014797;IPR038209;IPR011033;
Q5T601	reviewed	AGRF1_HUMAN	Adhesion G-protein coupled receptor F1 (G protein-coupled receptor 110) (G protein-coupled receptor KPG_012) [Cleaved into: Adhesion G-protein coupled receptor F1, N-terminal fragment (ADGRF1 N-terminal fragment); Adhesion G-protein coupled receptor F1, C-terminal fragment (ADGRF1 C-terminal fragment)]	910	IPR051587;IPR057244;IPR046338;IPR017981;IPR008078;IPR000832;IPR000203;IPR000082;
Q5T655	reviewed	CFA58_HUMAN	Cilia- and flagella-associated protein 58 (Coiled-coil domain-containing protein 147)	872	IPR049270;
Q5T6F2	reviewed	UBAP2_HUMAN	Ubiquitin-associated protein 2 (UBAP-2) (RNA polymerase II degradation factor UBAP2)	1119	IPR051833;IPR015940;IPR009060;IPR022166;
Q5T6X5	reviewed	GPC6A_HUMAN	G-protein coupled receptor family C group 6 member A (hGPRC6A) (G-protein coupled receptor GPCR33) (hGPCR33)	926	IPR001828;IPR000337;IPR011500;IPR038550;IPR017978;IPR000068;IPR017979;IPR028082;
Q5T7B8	reviewed	KIF24_HUMAN	Kinesin-like protein KIF24	1368	IPR027640;IPR019821;IPR001752;IPR036961;IPR027417;IPR001660;IPR013761;
Q5T7N3	reviewed	KANK4_HUMAN	KN motif and ankyrin repeat domain-containing protein 4 (Ankyrin repeat domain-containing protein 38)	995	IPR002110;IPR036770;IPR047184;IPR021939;
Q5T7W0	reviewed	ZN618_HUMAN	Zinc finger protein 618	954	IPR012337;IPR036236;IPR013087;
Q5T848	reviewed	MGLYR_HUMAN	Metabotropic glycine receptor (mGlyR) (G-protein coupled receptor 158)	1215	IPR017978;IPR043458;IPR054714;
Q5T890	reviewed	ER6L2_HUMAN	DNA excision repair protein ERCC-6-like 2 (EC 3.6.4.-) (DNA repair and recombination protein RAD26-like) (Excision repair cross-complementation group 6-like 2)	1561	IPR058052;IPR002464;IPR014001;IPR001650;IPR029256;IPR027417;IPR057931;IPR038718;IPR049730;IPR000330;IPR050496;
Q5T8A7	reviewed	PPR26_HUMAN	Protein phosphatase 1 regulatory subunit 26	1209	IPR026130;IPR031474;
Q5T8P6	reviewed	RBM26_HUMAN	RNA-binding protein 26 (CTCL tumor antigen se70-2) (RNA-binding motif protein 26)	1007	IPR012677;IPR002483;IPR035979;IPR039511;IPR045137;IPR034859;IPR000504;IPR000571;
Q5TAX3	reviewed	TUT4_HUMAN	Terminal uridylyltransferase 4 (TUTase 4) (EC 2.7.7.52) (Zinc finger CCHC domain-containing protein 11)	1644	IPR054708;IPR043519;IPR002058;IPR045100;IPR001878;IPR036875;
Q5TB30	reviewed	DEP1A_HUMAN	DEP domain-containing protein 1A	811	IPR000591;IPR008936;IPR036388;IPR036390;
Q5TB80	reviewed	CE162_HUMAN	Centrosomal protein of 162 kDa (Cep162) (Protein QN1 homolog)	1403	IPR038774;
Q5TBA9	reviewed	FRY_HUMAN	Protein furry homolog	3013	IPR025614;IPR025481;IPR045842;IPR039867;IPR029473;
Q5TC82	reviewed	RC3H1_HUMAN	Roquin-1 (Roquin) (EC 2.3.2.27) (RING finger and C3H zinc finger protein 1) (RING finger and CCCH-type zinc finger domain-containing protein 1) (RING finger protein 198)	1133	IPR041523;IPR048575;IPR052249;IPR000571;IPR036855;IPR001841;IPR013083;IPR017907;
Q5TCQ9	reviewed	MAGI3_HUMAN	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3 (Membrane-associated guanylate kinase inverted 3) (MAGI-3)	1481	IPR008145;IPR008144;IPR020590;IPR027417;IPR001478;IPR036034;IPR001202;IPR036020;
Q5TCS8	reviewed	KAD9_HUMAN	Adenylate kinase 9 (EC 2.7.4.4) (EC 2.7.4.6) (Adenylate kinase domain-containing protein 1) (Adenylate kinase domain-containing protein 2)	1911	IPR003593;IPR000850;IPR027417;
Q5TCX8	reviewed	M3K21_HUMAN	Mitogen-activated protein kinase kinase kinase 21 (EC 2.7.11.25) (Mitogen-activated protein kinase kinase kinase MLK4) (Mixed lineage kinase 4)	1036	IPR011009;IPR016231;IPR000719;IPR017441;IPR001245;IPR008271;IPR051681;IPR036028;IPR001452;
Q5TCY1	reviewed	TTBK1_HUMAN	Tau-tubulin kinase 1 (EC 2.7.11.1) (Brain-derived tau kinase)	1321	IPR050235;IPR011009;IPR000719;IPR017441;IPR042714;
Q5TCZ1	reviewed	SPD2A_HUMAN	SH3 and PX domain-containing protein 2A (Adapter protein TKS5) (Five SH3 domain-containing protein) (SH3 multiple domains protein 1) (Tyrosine kinase substrate with five SH3 domains)	1133	IPR051228;IPR001683;IPR036871;IPR036028;IPR001452;IPR037961;IPR035450;IPR035452;IPR035449;IPR035453;IPR035454;
Q5TGY3	reviewed	AHDC1_HUMAN	Transcription factor Gibbin (AT-hook DNA-binding motif-containing protein 1)	1603	IPR039225;IPR032757;
Q5THJ4	reviewed	VP13D_HUMAN	Intermembrane lipid transfer protein VPS13D (Vacuolar protein sorting-associated protein 13D)	4388	IPR015940;IPR009060;IPR041969;IPR026847;IPR056747;IPR026854;IPR009543;
Q5THR3	reviewed	EFCB6_HUMAN	EF-hand calcium-binding domain-containing protein 6 (CAP-binding protein complex-interacting protein 1) (DJ-1-binding protein) (DJBP)	1501	IPR011992;IPR018247;IPR015070;IPR002048;IPR052603;
Q5TIA1	reviewed	MEI1_HUMAN	Meiosis inhibitor protein 1 (Meiosis defective protein 1)	1274	IPR011989;IPR016024;IPR052133;
Q5TZA2	reviewed	CROCC_HUMAN	Rootletin (Ciliary rootlet coiled-coil protein)	2017	IPR055167;
Q5U5Z8	reviewed	CBPC2_HUMAN	Cytosolic carboxypeptidase 2 (EC 3.4.17.-) (ATP/GTP-binding protein-like 2) (Protein deglutamylase CCP2)	902	IPR050821;IPR040626;IPR000834;
Q5U651	reviewed	RAIN_HUMAN	Ras-interacting protein 1 (Rain)	963	IPR037983;IPR002710;IPR000159;IPR008984;IPR029071;IPR052072;
Q5UIP0	reviewed	RIF1_HUMAN	Telomere-associated protein RIF1 (Rap1-interacting factor 1 homolog)	2472	IPR011989;IPR016024;IPR022031;
Q5VIR6	reviewed	VPS53_HUMAN	Vacuolar protein sorting-associated protein 53 homolog	832	IPR039766;IPR031745;IPR038260;IPR007234;
Q5VSL9	reviewed	STRP1_HUMAN	Striatin-interacting protein 1 (Protein FAM40A)	837	IPR040185;IPR021819;IPR012486;
Q5VST9	reviewed	OBSCN_HUMAN	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	7968	IPR035899;IPR000219;IPR003961;IPR036116;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;IPR013106;IPR000048;IPR011009;IPR052385;IPR035526;IPR011993;IPR001849;IPR000719;IPR017441;IPR008271;IPR036028;IPR001452;IPR055251;IPR008266;
Q5VT06	reviewed	CE350_HUMAN	Centrosome-associated protein 350 (Cep350) (Centrosome-associated protein of 350 kDa)	3117	IPR036859;IPR000938;IPR028750;IPR025486;
Q5VT25	reviewed	MRCKA_HUMAN	Serine/threonine-protein kinase MRCK alpha (EC 2.7.11.1) (CDC42-binding protein kinase alpha) (DMPK-like alpha) (Myotonic dystrophy kinase-related CDC42-binding kinase alpha) (MRCK alpha) (Myotonic dystrophy protein kinase-like alpha)	1732	IPR000961;IPR046349;IPR001180;IPR000095;IPR031597;IPR011009;IPR057529;IPR026611;IPR014930;IPR011993;IPR001849;IPR002219;IPR017892;IPR000719;IPR017441;IPR050839;IPR008271;
Q5VT52	reviewed	RPRD2_HUMAN	Regulation of nuclear pre-mRNA domain-containing protein 2	1461	IPR006569;IPR008942;IPR047885;
Q5VTR2	reviewed	BRE1A_HUMAN	E3 ubiquitin-protein ligase BRE1A (BRE1-A) (hBRE1) (EC 2.3.2.27) (RING finger protein 20) (RING-type E3 ubiquitin transferase BRE1A)	975	IPR058643;IPR058642;IPR013956;IPR018957;IPR001841;IPR013083;IPR017907;
Q5VTT5	reviewed	MYOM3_HUMAN	Myomesin-3 (Myomesin family member 3)	1437	IPR003961;IPR036116;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;IPR050964;
Q5VU43	reviewed	MYOME_HUMAN	Myomegalin (Cardiomyopathy-associated protein 2) (Phosphodiesterase 4D-interacting protein)	2346	IPR056273;IPR012943;IPR052593;IPR010630;
Q5VUA4	reviewed	ZN318_HUMAN	Zinc finger protein 318 (Endocrine regulatory protein)	2279	IPR003604;IPR055309;
Q5VUB5	reviewed	F1711_HUMAN	Protein FAM171A1 (Astroprincin) (APCN)	890	IPR018890;IPR049175;IPR048530;
Q5VUG0	reviewed	SMBT2_HUMAN	Scm-like with four MBT domains protein 2 (Scm-like with 4 MBT domains protein 2)	894	IPR004092;IPR047353;IPR047354;IPR047355;IPR050548;IPR001660;IPR013761;IPR037604;IPR021987;IPR038348;
Q5VV43	reviewed	K0319_HUMAN	Dyslexia-associated protein KIAA0319	1072	IPR003961;IPR013783;IPR029865;IPR056502;IPR013980;IPR011106;IPR022409;IPR000601;IPR035986;
Q5VV63	reviewed	ATRN1_HUMAN	Attractin-like protein 1	1379	IPR034011;IPR056737;IPR001304;IPR016186;IPR016187;IPR000859;IPR000742;IPR056732;IPR015915;IPR002049;IPR056863;IPR051568;IPR002165;IPR016201;IPR035914;
Q5VV67	reviewed	PPRC1_HUMAN	Peroxisome proliferator-activated receptor gamma coactivator-related protein 1 (PGC-1-related coactivator) (PRC)	1664	IPR012677;IPR034605;IPR034834;IPR035979;IPR000504;
Q5VVJ2	reviewed	MYSM1_HUMAN	Deubiquitinase MYSM1 (2A-DUB) (EC 3.4.19.-) (Myb-like, SWIRM and MPN domain-containing protein 1)	828	IPR009057;IPR000555;IPR050242;IPR037518;IPR017930;IPR001005;IPR017884;IPR007526;IPR036388;
Q5VW36	reviewed	FOCAD_HUMAN	Focadhesin	1801	IPR016024;IPR022542;IPR045163;IPR021392;
Q5VWG9	reviewed	TAF3_HUMAN	Transcription initiation factor TFIID subunit 3 (140 kDa TATA box-binding protein-associated factor) (TBP-associated factor 3) (Transcription initiation factor TFIID 140 kDa subunit) (TAF(II)140) (TAF140) (TAFII-140) (TAFII140)	929	IPR006565;IPR009072;IPR019786;IPR011011;IPR001965;IPR019787;IPR013083;
Q5VWN6	reviewed	TASO2_HUMAN	Protein TASOR 2	2430	IPR022168;IPR056242;IPR046432;IPR056243;IPR022188;
Q5VWP3	reviewed	MLIP_HUMAN	Muscular LMNA-interacting protein (Cardiac Isl1-interacting protein) (CIP) (Muscular-enriched A-type laminin-interacting protein)	993	IPR029331;
Q5VWQ8	reviewed	DAB2P_HUMAN	Disabled homolog 2-interacting protein (DAB2 interaction protein) (DAB2-interacting protein) (ASK-interacting protein 1) (AIP-1) (DOC-2/DAB-2 interactive protein)	1189	IPR000008;IPR035892;IPR021887;IPR011993;IPR001849;IPR039360;IPR023152;IPR001936;IPR008936;IPR057606;
Q5VXU9	reviewed	SHOC1_HUMAN	Protein shortage in chiasmata 1 ortholog (EC 3.6.-.-) (Protein ZIP2 homolog) (MZIP2)	1444	IPR039991;
Q5VY43	reviewed	PEAR1_HUMAN	Platelet endothelial aggregation receptor 1 (hPEAR1) (Multiple epidermal growth factor-like domains protein 12) (Multiple EGF-like domains protein 12)	1037	IPR000742;IPR057138;IPR011489;IPR002049;IPR052485;
Q5VYJ5	reviewed	MALR1_HUMAN	MAM and LDL-receptor class A domain-containing protein 1	2156	IPR013320;IPR000742;IPR036055;IPR023415;IPR002172;IPR000998;IPR051560;
Q5VYK3	reviewed	ECM29_HUMAN	Proteasome adapter and scaffold protein ECM29 (Ecm29 proteasome adapter and scaffold) (Proteasome-associated protein ECM29 homolog)	1845	IPR011989;IPR016024;IPR055444;IPR024372;IPR055443;
Q5VYS8	reviewed	TUT7_HUMAN	Terminal uridylyltransferase 7 (TUTase 7) (EC 2.7.7.52) (Zinc finger CCHC domain-containing protein 6)	1495	IPR003604;IPR054708;IPR043519;IPR002058;IPR045100;IPR001878;IPR036875;
Q5VZ89	reviewed	DEN4C_HUMAN	DENN domain-containing protein 4C	1909	IPR001194;IPR005112;IPR043153;IPR051696;IPR023341;IPR011990;IPR037516;IPR005113;
Q5VZK9	reviewed	CARL1_HUMAN	F-actin-uncapping protein LRRC16A (CARMIL homolog) (Capping protein regulator and myosin 1 linker protein 1) (Capping protein, Arp2/3 and myosin-I linker homolog 1) (Capping protein, Arp2/3 and myosin-I linker protein 1) (Leucine-rich repeat-containing protein 16A)	1371	IPR031943;IPR041245;IPR001611;IPR032675;IPR011993;IPR051279;
Q5VZL5	reviewed	ZMYM4_HUMAN	Zinc finger MYM-type protein 4 (Zinc finger protein 262)	1548	IPR057926;IPR011017;IPR021893;IPR010507;IPR051284;
Q5W041	reviewed	ARMC3_HUMAN	Armadillo repeat-containing protein 3 (Beta-catenin-like protein) (Cancer/testis antigen 81) (CT81) (KU-CT-1)	872	IPR011989;IPR016024;IPR055445;IPR000225;IPR052441;IPR055164;
Q5W0Q7	reviewed	USPL1_HUMAN	SUMO-specific isopeptidase USPL1 (EC 3.4.22.-) (Ubiquitin-specific peptidase-like protein 1) (USP-like 1)	1092	IPR029388;IPR038765;IPR028890;IPR028889;IPR033505;
Q5XKL5	reviewed	BTBD8_HUMAN	BTB/POZ domain-containing protein 8 (AP2-interacting clathrin-endocytosis) (APache)	1792	IPR043225;IPR000210;IPR040121;IPR027907;IPR011333;
Q5XPI4	reviewed	RN123_HUMAN	E3 ubiquitin-protein ligase RNF123 (EC 2.3.2.27) (Kip1 ubiquitination-promoting complex protein 1) (RING finger protein 123)	1314	IPR001870;IPR043136;IPR013320;IPR045129;IPR003877;IPR035773;IPR057987;IPR001841;IPR013083;
Q5XXA6	reviewed	ANO1_HUMAN	Anoctamin-1 (Discovered on gastrointestinal stromal tumors protein 1) (Oral cancer overexpressed protein 2) (Transmembrane protein 16A) (Tumor-amplified and overexpressed sequence 2)	986	IPR032394;IPR007632;IPR049452;
Q60I27	reviewed	AL2CL_HUMAN	ALS2 C-terminal-like protein	953	IPR051984;IPR057248;IPR035899;IPR003409;IPR003123;IPR037191;
Q63HK5	reviewed	TSH3_HUMAN	Teashirt homolog 3 (Zinc finger protein 537)	1081	IPR001356;IPR027008;IPR058631;IPR013087;
Q63HN8	reviewed	RN213_HUMAN	E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (EC 3.6.4.-) (ALK lymphoma oligomerization partner on chromosome 17) (E3 ubiquitin-lipopolysaccharide ligase RNF213) (EC 2.3.2.-) (Mysterin) (RING finger protein 213)	5207	IPR003593;IPR027417;IPR031248;IPR046439;IPR018957;IPR001841;IPR013083;
Q63HQ2	reviewed	EGFLA_HUMAN	Pikachurin (Agrin-like protein) (EGF-like, fibronectin type-III and laminin G-like domain-containing protein)	1017	IPR013320;IPR000742;IPR001881;IPR056943;IPR003961;IPR036116;IPR013783;IPR001791;IPR050372;
Q63HR2	reviewed	TENS2_HUMAN	Tensin-2 (EC 3.1.3.48) (C1 domain-containing phosphatase and tensin homolog) (C1-TEN) (Tensin-like C1 domain-containing phosphatase)	1409	IPR046349;IPR035892;IPR011993;IPR002219;IPR029021;IPR013625;IPR006020;IPR000980;IPR036860;IPR035012;IPR014020;IPR029023;IPR033929;IPR051484;
Q63ZY3	reviewed	KANK2_HUMAN	KN motif and ankyrin repeat domain-containing protein 2 (Ankyrin repeat domain-containing protein 25) (Matrix-remodeling-associated protein 3) (SRC-1-interacting protein) (SIP) (SRC-interacting protein) (SRC1-interacting protein)	851	IPR002110;IPR036770;IPR047184;IPR021939;
Q641Q2	reviewed	WAC2A_HUMAN	WASH complex subunit 2A	1341	IPR029341;
Q659A1	reviewed	ICE2_HUMAN	Little elongation complex subunit 2 (Interactor of little elongator complex ELL subunit 2) (NMDA receptor-regulated protein 2)	982	IPR019535;
Q659C4	reviewed	LAR1B_HUMAN	La-related protein 1B (La ribonucleoprotein domain family member 1B) (La ribonucleoprotein domain family member 2) (La-related protein 2)	914	IPR006607;IPR045180;IPR006630;IPR036388;IPR036390;
Q66GS9	reviewed	CP135_HUMAN	Centrosomal protein of 135 kDa (Cep135) (Centrosomal protein 4)	1140	IPR051877;
Q66K74	reviewed	MAP1S_HUMAN	Microtubule-associated protein 1S (MAP-1S) (BPY2-interacting protein 1) (Microtubule-associated protein 8) (Variable charge Y chromosome 2-interacting protein 1) (VCY2-interacting protein 1) (VCY2IP-1) [Cleaved into: MAP1S heavy chain; MAP1S light chain]	1059	IPR026074;IPR057480;IPR056617;
Q674R7	reviewed	ATG9B_HUMAN	Autophagy-related protein 9B (APG9-like 2) (Nitric oxide synthase 3-overlapping antisense gene protein) (Protein sONE)	924	IPR007241;
Q685J3	reviewed	MUC17_HUMAN	Mucin-17 (MUC-17) (Small intestinal mucin-3) (MUC-3)	4493	IPR000742;IPR053311;IPR000082;IPR036364;
Q68CP9	reviewed	ARID2_HUMAN	AT-rich interactive domain-containing protein 2 (ARID domain-containing protein 2) (BRG1-associated factor 200) (BAF200) (Zinc finger protein with activation potential) (Zipzap/p200)	1835	IPR001606;IPR036431;IPR016024;IPR052406;IPR003150;IPR036388;IPR036390;IPR013087;
Q68CQ1	reviewed	MROH7_HUMAN	Maestro heat-like repeat-containing protein family member 7 (HEAT repeat-containing protein 8)	1323	IPR011989;IPR016024;IPR055406;IPR055408;IPR048465;IPR045206;
Q68CZ1	reviewed	FTM_HUMAN	Protein fantom (Nephrocystin-8) (RPGR-interacting protein 1-like protein) (RPGRIP1-like protein)	1315	IPR021656;IPR000008;IPR035892;IPR041091;IPR031139;
Q68CZ2	reviewed	TENS3_HUMAN	Tensin-3 (EC 3.1.3.-) (Tensin-like SH2 domain-containing protein 1) (Tumor endothelial marker 6)	1445	IPR035892;IPR011993;IPR029021;IPR013625;IPR006020;IPR000980;IPR036860;IPR035012;IPR014020;IPR029023;IPR033929;IPR051484;IPR003595;IPR000387;
Q68D06	reviewed	SLN13_HUMAN	Schlafen family member 13 (EC 3.1.-.-) (Schlafen-13) (hSLFN13)	897	IPR027417;IPR031450;IPR029684;IPR007421;IPR038461;IPR018647;IPR048729;
Q68DA7	reviewed	FMN1_HUMAN	Formin-1 (Limb deformity protein homolog)	1419	IPR015425;IPR042201;IPR001265;
Q68DC2	reviewed	ANKS6_HUMAN	Ankyrin repeat and SAM domain-containing protein 6 (Ankyrin repeat domain-containing protein 14) (SamCystin) (Sterile alpha motif domain-containing protein 6) (SAM domain-containing protein 6)	871	IPR051631;IPR002110;IPR036770;IPR001660;IPR013761;
Q68DD2	reviewed	PA24F_HUMAN	Cytosolic phospholipase A2 zeta (cPLA2-zeta) (EC 3.1.1.4) (Phospholipase A2 group IVF)	849	IPR016035;IPR041847;IPR000008;IPR035892;IPR040723;IPR002642;
Q68DE3	reviewed	USF3_HUMAN	Basic helix-loop-helix domain-containing protein USF3 (Upstream transcription factor 3)	2245	IPR011598;IPR053252;IPR036638;IPR048064;
Q68DK2	reviewed	ZFY26_HUMAN	Zinc finger FYVE domain-containing protein 26 (FYVE domain-containing centrosomal protein) (FYVE-CENT) (Spastizin)	2539	IPR057946;IPR028730;IPR000306;IPR017455;IPR011011;IPR013083;
Q68DQ2	reviewed	CRBG3_HUMAN	Very large A-kinase anchor protein (vlAKAP) (Beta/gamma crystallin domain-containing protein 3)	2970	IPR050252;IPR001064;IPR011024;IPR035992;IPR000772;
Q68DX3	reviewed	FRPD2_HUMAN	FERM and PDZ domain-containing protein 2 (PDZ domain-containing protein 4) (PDZ domain-containing protein 5C)	1309	IPR019749;IPR014352;IPR035963;IPR019748;IPR000299;IPR018979;IPR018980;IPR011019;IPR052074;IPR001478;IPR036034;IPR011993;IPR029071;
Q68E01	reviewed	INT3_HUMAN	Integrator complex subunit 3 (Int3) (SOSS complex subunit A) (Sensor of single-strand DNA complex subunit A) (SOSS-A) (Sensor of ssDNA subunit A)	1043	IPR056518;IPR045334;IPR019333;
Q68EM7	reviewed	RHG17_HUMAN	Rho GTPase-activating protein 17 (Rho-type GTPase-activating protein 17) (RhoGAP interacting with CIP4 homologs protein 1) (RICH-1)	881	IPR027267;IPR004148;IPR047165;IPR008936;IPR000198;
Q69YH5	reviewed	CDCA2_HUMAN	Cell division cycle-associated protein 2 (Recruits PP1 onto mitotic chromatin at anaphase protein) (Repo-Man)	1023	IPR029334;
Q69YN4	reviewed	VIR_HUMAN	Protein virilizer homolog	1812	IPR016024;IPR031801;IPR026736;
Q69YQ0	reviewed	CYTSA_HUMAN	Cytospin-A (Renal carcinoma antigen NY-REN-22) (Sperm antigen with calponin homology and coiled-coil domains 1-like) (SPECC1-like protein)	1117	IPR001715;IPR036872;IPR050540;
Q6AI39	reviewed	BICRL_HUMAN	BRD4-interacting chromatin-remodeling complex-associated protein-like (Glioma tumor suppressor candidate region gene 1 protein-like)	1079	IPR052438;IPR015671;
Q6AWC2	reviewed	WWC2_HUMAN	Protein WWC2 (BH-3-only member B) (WW domain-containing protein 2)	1192	IPR000008;IPR035892;IPR037771;IPR001202;IPR036020;IPR051105;IPR057747;
Q6BDS2	reviewed	BLT3A_HUMAN	Bridge-like lipid transfer protein family member 3A (ICBP90-binding protein 1) (UHRF1-binding protein 1) (Ubiquitin-like containing PHD and RING finger domains 1-binding protein 1)	1440	IPR026728;
Q6DN12	reviewed	MCTP2_HUMAN	Multiple C2 and transmembrane domain-containing protein 2	878	IPR000008;IPR035892;IPR013583;
Q6DN14	reviewed	MCTP1_HUMAN	Multiple C2 and transmembrane domain-containing protein 1	999	IPR000008;IPR035892;IPR013583;
Q6DN90	reviewed	IQEC1_HUMAN	IQ motif and SEC7 domain-containing protein 1 (ADP-ribosylation factors guanine nucleotide-exchange protein 100) (ADP-ribosylation factors guanine nucleotide-exchange protein 2) (Brefeldin-resistant Arf-GEF 2 protein) (BRAG2)	963	IPR033742;IPR011993;IPR001849;IPR023394;IPR000904;IPR035999;
Q6DT37	reviewed	MRCKG_HUMAN	Serine/threonine-protein kinase MRCK gamma (EC 2.7.11.1) (CDC42-binding protein kinase gamma) (DMPK-like gamma) (Myotonic dystrophy kinase-related CDC42-binding kinase gamma) (MRCK gamma) (MRCKG) (Myotonic dystrophy protein kinase-like gamma) (Myotonic dystrophy protein kinase-like alpha)	1551	IPR000961;IPR046349;IPR001180;IPR000095;IPR011009;IPR057529;IPR014930;IPR011993;IPR001849;IPR002219;IPR017892;IPR000719;IPR017441;IPR050839;IPR008271;
Q6EMB2	reviewed	TTLL5_HUMAN	Tubulin polyglutamylase TTLL5 (EC 6.3.2.-) (SRC1 and TIF2-associated modulatory protein) (STAMP protein) (Tubulin--tyrosine ligase-like protein 5)	1281	IPR004344;
Q6F5E8	reviewed	CARL2_HUMAN	Capping protein, Arp2/3 and myosin-I linker protein 2 (Capping protein regulator and myosin 1 linker 2) (F-actin-uncapping protein RLTPR) (Leucine-rich repeat-containing protein 16C) (RGD, leucine-rich repeat, tropomodulin and proline-rich-containing protein)	1435	IPR031943;IPR041245;IPR001611;IPR032675;IPR011993;IPR051279;
